Model,MSS,Image,AUC,NSS,IG,LL
center_bias,1,grayscale_11_opensource.jpg,0.6982894566487851,0.6384001675776967,0.0,-0.1789573610919745
center_bias,1,grayscale_18_housebeautiful.jpg,0.6247575936011188,0.3859134087796938,0.0,-0.7715837071531946
center_bias,1,grayscale_100_oliva.jpg,0.8135011203705318,1.3831185257325984,0.0,0.9208932059773086
center_bias,1,grayscale_17_oliva.jpg,0.7172122221237861,0.5394843523141584,0.0,-0.057082846165691196
center_bias,1,grayscale_16_housebeautiful.jpg,0.6934415952658948,0.6066624097942326,0.0,-0.21851371324097657
center_bias,1,grayscale_13_oliva.jpg,0.6890126418120975,0.36077655931602487,0.0,-0.3099482952748517
center_bias,1,grayscale_21_housebeautiful.jpg,0.5013498331326846,0.30540071701188565,0.0,-1.8569025199277345
center_bias,1,grayscale_21_kitchen.jpg,0.7480687292312472,0.9021388722236241,0.0,0.2880927197360622
center_bias,1,grayscale_14_housebeautiful.jpg,0.35689147147046424,0.4526956061960641,0.0,-3.2832167395848972
center_bias,1,grayscale_1_opensource.jpg,0.6521939433246002,0.592126748233794,0.0,-0.5930624235564621
center_bias,1,grayscale_11_oliva.jpg,0.8185957407139144,0.8243009987547026,0.0,0.7671217620489313
center_bias,1,grayscale_30_housebeautiful.jpg,0.8694584793824509,1.0629113875162197,0.0,1.2163316922086107
center_bias,1,grayscale_6_other.jpg,0.7019729167370716,0.4521359936329911,0.0,-0.18864358752075164
center_bias,1,grayscale_18_opensource.jpg,0.7735679351861882,0.9282155586395248,0.0,0.48399620070332317
center_bias,1,grayscale_98_oliva.jpg,0.6791991352881304,0.9170663307925969,0.0,-0.21823445897588784
center_bias,1,grayscale_5_opensource.jpg,0.5712240265354968,0.14685187267788397,0.0,-1.252000286770393
center_bias,1,grayscale_16_oliva.jpg,0.795323919836087,0.7153333720557321,0.0,0.5556740821686336
center_bias,1,grayscale_6_airbnb.jpg,0.5586343383859509,0.73869051938182,0.0,-1.194021793245712
center_bias,1,grayscale_13_kitchen.jpg,0.7090297025898779,0.781130165806728,0.0,-0.04601067622963777
center_bias,1,grayscale_19_kitchen.jpg,0.6734282899180418,0.7672209516831036,0.0,-0.2995545663362075
center_bias,1,grayscale_21_opensource.jpg,0.6734459356439317,1.2737386252373806,0.0,-0.15003828524045398
center_bias,1,grayscale_50_oliva.jpg,0.7603935173579622,0.7317505287577782,0.0,0.29233323834796515
center_bias,1,grayscale_29_oliva.jpg,0.640569481792003,0.8617093916442622,0.0,-0.5432144291842115
center_bias,1,grayscale_13_opensource.jpg,0.5561665936331462,0.2742338499028444,0.0,-1.2968618814105057
center_bias,1,grayscale_58_oliva.jpg,0.5592461503772906,0.5497062096302116,0.0,-1.2209891009104648
center_bias,1,grayscale_28_oliva.jpg,0.5467841437153251,0.5563991352229685,0.0,-1.3332721427069412
center_bias,1,grayscale_4_oliva.jpg,0.7151750936405284,0.6259771589693116,0.0,-0.022409570687919135
center_bias,1,grayscale_45_oliva.jpg,0.6383747862639637,0.5197934410963522,0.0,-0.6276077211051279
center_bias,1,grayscale_68_oliva.jpg,0.4985383491736296,0.3515794658629502,0.0,-1.8106102009334277
center_bias,1,grayscale_4_other.jpg,0.691738615587972,0.6729312805229614,0.0,-0.18447661674198076
center_bias,1,grayscale_52_oliva.jpg,0.6252720366743276,0.5560264279651107,0.0,-0.789764391288872
center_bias,1,grayscale_4_housebeautiful.jpg,0.5909558020361776,0.3302225854588907,0.0,-1.0599428348320958
center_bias,1,grayscale_84_oliva.jpg,0.771713628154509,0.47338269917465825,0.0,0.3072220922882551
center_bias,1,grayscale_20_housebeautiful.jpg,0.7413137568414572,0.6647941863468965,0.0,0.13689946150108803
center_bias,1,grayscale_7_housebeautiful.jpg,0.6655118614277514,0.7095884230444437,0.0,-0.39567157853699547
center_bias,1,grayscale_12_housebeautiful.jpg,0.6824588741755179,0.3018815084821328,0.0,-0.4186728883913648
center_bias,1,grayscale_13_other.jpg,0.713250104696615,0.9723488723551338,0.0,0.054317840393188065
center_bias,1,grayscale_18_kitchen.jpg,0.8803271850398172,1.9808629062652847,0.0,1.6514480802967026
