MSS,Image,Model,MMvec,MMdir,MMlen,MMpos,MMtime
1,grayscale_10_housebeautiful.jpg,elm_base,0.8934919892504144,0.7228368008506502,0.8974015171926503,0.8325340326895923,0.34144444444444444
1,grayscale_10_housebeautiful.jpg,elm_final,0.8968971523078301,0.6761258020112124,0.899435059903183,0.8061488770036518,0.31311111111111106
1,grayscale_10_housebeautiful.jpg,nnIBS,0.886583639772382,0.7184044130410272,0.8898645091614857,0.838096239743603,0.34144444444444444
1,grayscale_10_kitchen.jpg,elm_base,0.893803372643263,0.580669341124972,0.8648839343042186,0.7946238053478587,0.10811111111111114
1,grayscale_10_kitchen.jpg,elm_final,0.9254152281462397,0.6828329798521654,0.8969403510323196,0.8404826845485506,0.14902777777777781
1,grayscale_10_kitchen.jpg,nnIBS,0.8895317218106165,0.5619773912978423,0.859371326825935,0.8014704697768787,0.10811111111111114
1,grayscale_10_oliva.jpg,elm_final,0.8990289096192053,0.715197756363468,0.9065983005625052,0.7664584949821982,0.058666666666666645
1,grayscale_11_kitchen.jpg,elm_base,0.9104681595902905,0.6636339758413476,0.9220170533308144,0.8980621493731533,0.10333333333333333
1,grayscale_11_kitchen.jpg,elm_final,0.9338729792916306,0.7723223189521256,0.9338900298619264,0.9052945539933887,0.12598717948717947
1,grayscale_11_kitchen.jpg,nnIBS,0.907970414902602,0.6997022593848119,0.911800935595746,0.895960777744294,0.1773846153846154
1,grayscale_11_oliva.jpg,elm_base,0.9245415836745604,0.8305543351296913,0.9072161080802212,0.8669832456290674,0.07932926829268294
1,grayscale_11_oliva.jpg,elm_final,0.9267963908726662,0.7847803348830861,0.9281908348902967,0.8509325203817039,0.08237804878048781
1,grayscale_11_oliva.jpg,nnIBS,0.9245415836745604,0.8305543351296913,0.9072161080802212,0.8669832456290674,0.07932926829268294
1,grayscale_11_opensource.jpg,elm_base,0.9104806661735073,0.6662718113520028,0.9136671294879687,0.8074779343305099,0.11838666666666668
1,grayscale_11_opensource.jpg,elm_final,0.9153670256492842,0.7154945335364551,0.9107758685213255,0.8266149471952603,0.09433333333333335
1,grayscale_11_opensource.jpg,nnIBS,0.9086506062719222,0.7463391520636936,0.8983930442721365,0.808774073002713,0.11042666666666667
1,grayscale_12_housebeautiful.jpg,elm_base,0.9163681365419856,0.6634119069898623,0.9164544243378556,0.8304569692893106,0.10033333333333334
1,grayscale_12_housebeautiful.jpg,elm_final,0.9249734695114133,0.6296668801104326,0.9175101851984508,0.8290211677650405,0.1060952380952381
1,grayscale_12_housebeautiful.jpg,nnIBS,0.9163681365419856,0.6634119069898623,0.9164544243378556,0.8304569692893106,0.10033333333333334
1,grayscale_13_kitchen.jpg,elm_base,0.9227683334742308,0.7130846093070154,0.9088593501601353,0.8494800875192751,0.09194444444444444
1,grayscale_13_kitchen.jpg,elm_final,0.9427216121857512,0.8038846264488292,0.9188154806245978,0.8412237982005594,0.08827160493827159
1,grayscale_13_oliva.jpg,elm_base,0.9549522810304268,0.8118561922037121,0.9468035195881211,0.8986612887879211,0.09444047619047621
1,grayscale_13_oliva.jpg,elm_final,0.9523740696616069,0.8213102005103011,0.9528553272469583,0.9498396352456074,0.13686904761904767
1,grayscale_13_oliva.jpg,nnIBS,0.9465776782024552,0.7124344344678376,0.9489334100838673,0.9373059027847244,0.08730952380952382
1,grayscale_13_opensource.jpg,elm_base,0.9188582702890948,0.6969904892656356,0.8841046471891377,0.8286638001130956,0.3129166666666667
1,grayscale_13_opensource.jpg,elm_final,0.918365958343653,0.7368077283870716,0.8968156377270354,0.8571712395440002,0.15644444444444447
1,grayscale_13_opensource.jpg,nnIBS,0.9153386881020821,0.6466604138269244,0.908592824583787,0.8538752667592945,0.24505555555555558
1,grayscale_13_other.jpg,elm_base,0.9080271612237225,0.7006589758049798,0.9088302349727864,0.8189540148261696,0.18946666666666667
1,grayscale_13_other.jpg,elm_final,0.9260855774620232,0.7179026273970149,0.9342364945212159,0.828916655946277,0.20305555555555557
1,grayscale_13_other.jpg,nnIBS,0.9107352077379348,0.7018964278585111,0.9181857083618337,0.8362208154167673,0.1751
1,grayscale_14_airbnb.jpg,elm_final,0.9192807000465303,0.781196834533129,0.9242794666883599,0.831847860850482,0.09489130434782611
1,grayscale_14_housebeautiful.jpg,elm_base,0.8818808042574242,0.6268075323096016,0.8935184894167593,0.7700892729533356,0.09690000000000001
