MSS,Image,Model,MMvec,MMdir,MMlen,MMpos,MMtime
1,cmp_building_015_person_008.jpg,wm_fixed_limit-HS_4,0.9488262120844959,0.8584616056632273,0.9383246240978239,0.9095145431856485,1.0
1,cmp_building_022_cat_009.jpg,wm_fixed_limit-HS_4,0.9322621300943054,0.6490139035615979,0.9211474413202118,0.8329551391522962,1.0
1,cmp_building_033_cat_012.jpg,wm_fixed_limit-HS_4,0.9157195160845502,0.6588180633886992,0.9358729539867117,0.8208999266147591,1.0
1,cmp_building_039_dog_007.jpg,wm_fixed_limit-HS_4,0.9043198780976871,0.7271919064328458,0.8832468212872592,0.7768880394043332,1.0
1,cmp_building_046_sheep_001.jpg,wm_fixed_limit-HS_4,0.8916457902003643,0.579026479189597,0.9227654458771682,0.8045066696328947,1.0
1,cmp_building_054_bird_010.jpg,wm_fixed_limit-HS_4,0.9096447886651575,0.7599911188549913,0.9071458395750349,0.7864423768872479,1.0
1,cmp_building_060_dog_017.jpg,wm_fixed_limit-HS_4,0.90140826439766,0.6690222218217027,0.9238984983691497,0.7543323289480834,1.0
1,cmp_cakestand_003_food_002.jpg,wm_fixed_limit-HS_4,0.9106329022646674,0.6988975218834742,0.9260258353415418,0.8548898967007499,1.0
1,cmp_field_007_farmanimals_007.jpg,wm_fixed_limit-HS_4,0.9032122815865492,0.6502439397642558,0.9149700975796115,0.7973334787679998,1.0
1,cmp_mountain_004_sheep_001.jpg,wm_fixed_limit-HS_4,0.9255064933884944,0.740292126282922,0.9336547670504024,0.8186724865548795,1.0
1,cmp_mountain_019_sheep_007.jpg,wm_fixed_limit-HS_4,0.9119317593399168,0.7113083245376369,0.913920490610209,0.7519313140638753,1.0
1,cmp_seabottom_001_bottle_001.jpg,wm_fixed_limit-HS_4,0.9289469332140309,0.5553267731546662,0.9408864918778345,0.8393702767940633,1.0
1,cmp_shelves_016_cup_001.jpg,wm_fixed_limit-HS_4,0.9196694434994221,0.7295894614956587,0.9266323158084062,0.8435486276955833,1.0
1,cmp_shelves_018_remote_002.jpg,wm_fixed_limit-HS_4,0.9380693717008228,0.7060084642401045,0.9387260134181461,0.8519813572739805,1.0
1,cmp_shelves_035_book_008.jpg,wm_fixed_limit-HS_4,0.8961796541266221,0.6935827086683953,0.8837375413465325,0.7873149376683557,1.0
1,cmp_shelves_040_book_013.jpg,wm_fixed_limit-HS_4,0.9136302724852124,0.6310861526824076,0.9264788433240756,0.8377385064106064,1.0
1,cmp_shelves_046_toys_005.jpg,wm_fixed_limit-HS_4,0.8875860378519286,0.6560000274258069,0.9026620347350777,0.8480278487030709,1.0
1,cmp_shelves_054_toys_013.jpg,wm_fixed_limit-HS_4,0.914160442509752,0.7582534225230964,0.9219608688712186,0.855913011770245,1.0
1,cmp_shelves_059_toys_018.jpg,wm_fixed_limit-HS_4,0.9166127894490088,0.7285430414004072,0.9230406189549887,0.8043860807413182,1.0
1,cmp_shelves_075_toys_034.jpg,wm_fixed_limit-HS_4,0.9087298991848012,0.7070025880250403,0.9103683973076323,0.7971727155863694,1.0
1,cmp_shelves_089_vase_008.jpg,wm_fixed_limit-HS_4,0.8989269759855532,0.6550387108236605,0.8970261178620647,0.7239886582953564,1.0
1,cmp_shelves_096_teddybear_009.jpg,wm_fixed_limit-HS_4,0.8778710194239419,0.7343789877820541,0.848322969430715,0.825702591905409,1.0
1,cmp_shelves_103_teddybear_016.jpg,wm_fixed_limit-HS_4,0.8963853638175054,0.49508914202439347,0.9091279418305428,0.8469946744254853,1.0
1,cmp_shelves_108_teddybear_021.jpg,wm_fixed_limit-HS_4,0.9226212323109143,0.7183328179189689,0.9167464053847463,0.8015317947480333,1.0
1,cmp_shelves_109_teddybear_022.jpg,wm_fixed_limit-HS_4,0.9338207448810983,0.7981493006398376,0.9315366540093064,0.8512695723290868,1.0
1,cmp_shelves_111_pottedplant_002.jpg,wm_fixed_limit-HS_4,0.9298902456589496,0.675995275717356,0.9444023536105732,0.8198154772311014,1.0
1,cmp_yard_005_animal_003.jpg,wm_fixed_limit-HS_4,0.9031163611065732,0.7120143519675121,0.9063516281245236,0.781545287400769,1.0
2,cmp_beach_002_person_002.jpg,target_selection-TIS_M,0.9279347599761304,0.579438021503188,0.9382388555189538,0.8464350745839067,1.0
2,cmp_building_003_person_001.jpg,target_selection-TIS_M,0.919057938375937,0.5732770377914852,0.9388543086217916,0.7573988808993044,1.0
2,cmp_building_010_cat_002.jpg,target_selection-TIS_M,0.91380305557161,0.6906687872718916,0.925828967768665,0.792360362166203,1.0
2,cmp_building_018_cat_005.jpg,target_selection-TIS_M,0.9164760286496174,0.7271437697776457,0.9189011107355832,0.7759703552726179,1.0
2,cmp_building_021_cat_008.jpg,target_selection-TIS_M,0.9127645373656048,0.6990070912127471,0.9230334576506942,0.7766963899306295,1.0
2,cmp_building_032_cat_011.jpg,target_selection-TIS_M,0.9095578855070584,0.6022519215592343,0.9231760551156653,0.8514139649210979,1.0
2,cmp_building_041_dog_009.jpg,target_selection-TIS_M,0.912335019215848,0.7193090005656088,0.896183544053528,0.7856185645941437,1.0
2,cmp_building_050_bird_006.jpg,target_selection-TIS_M,0.9281879086598416,0.4932366477730734,0.919577700070202,0.8519985831900565,1.0
2,cmp_building_056_bird_012.jpg,target_selection-TIS_M,0.9159126147308344,0.726360300871774,0.9234825729397949,0.7904856386000852,1.0
2,cmp_building_062_dog_019.jpg,target_selection-TIS_M,0.920396078805882,0.7011413214568637,0.938921826432219,0.8689164554865921,1.0
2,cmp_field_008_farmanimals_008.jpg,target_selection-TIS_M,0.9307960131386857,0.7580584628925738,0.9344079621726546,0.8162660939931321,1.0
2,cmp_jungle_015_bird_015.jpg,target_selection-TIS_M,0.896246231482218,0.6700393735656102,0.8919336827023331,0.7483425360352403,1.0
2,cmp_meadow_003_dogs_002.jpg,target_selection-TIS_M,0.9244149223401412,0.6931011294772441,0.927876634031669,0.7351570681799183,1.0
2,cmp_mountain_003_cow_001.jpg,target_selection-TIS_M,0.9168232387511732,0.664024624015822,0.9210460368653874,0.8076110709900616,1.0
2,cmp_mountain_017_sheep_005.jpg,target_selection-TIS_M,0.9196944932355452,0.6629584563520963,0.919785795226465,0.7626810882956694,1.0
2,cmp_mountain_025_cow_005.jpg,target_selection-TIS_M,0.9194043766089685,0.7059785399504611,0.926295049320462,0.817201433754117,1.0
2,cmp_sanddunes_001_motorcycle_001.jpg,target_selection-TIS_M,0.9364020275548596,0.74202595842165,0.932934385337381,0.7412242363249787,1.0
2,cmp_shelves_008_fruitvegetal_001.jpg,target_selection-TIS_M,0.913237617284864,0.6663764119124862,0.9358472327314056,0.8211430425208232,1.0
2,cmp_shelves_020_remote_004.jpg,target_selection-TIS_M,0.9406590016960806,0.8128764808960669,0.94304209813727,0.885797385057183,1.0
2,cmp_shelves_032_book_005.jpg,target_selection-TIS_M,0.9156537471646166,0.639658390366833,0.9147744190223412,0.7432153931948939,1.0
2,cmp_shelves_039_book_012.jpg,target_selection-TIS_M,0.9122228410069576,0.5475597336282738,0.9401748672976306,0.8344591098288291,1.0
2,cmp_shelves_049_toys_008.jpg,target_selection-TIS_M,0.8993323953444141,0.6472195141694576,0.8987486819999478,0.7782820989254362,1.0
2,cmp_shelves_052_toys_011.jpg,target_selection-TIS_M,0.902256930647442,0.7277076647870152,0.893150097227699,0.790174428804535,1.0
2,cmp_shelves_058_toys_017.jpg,target_selection-TIS_M,0.900813201977086,0.6938581588032211,0.8927217009139361,0.8064379380498898,1.0
2,cmp_shelves_067_toys_026.jpg,target_selection-TIS_M,0.931571989309456,0.6992728772515484,0.9439751169640822,0.8426648062530112,1.0
2,cmp_shelves_073_toys_032.jpg,target_selection-TIS_M,0.8554947492621132,0.593819002324678,0.8662915774195094,0.8023809392017965,1.0
2,cmp_shelves_101_teddybear_014.jpg,target_selection-TIS_M,0.9099426851465467,0.7163193946395849,0.91807556333625,0.7879788707226735,1.0
2,cmp_shelves_107_teddybear_020.jpg,target_selection-TIS_M,0.9422051452770224,0.7766551656439408,0.9455486020547098,0.8474136159876992,1.0
2,cmp_snow_004_dog_001.jpg,target_selection-TIS_M,0.9201683466381698,0.6987519492901313,0.9401951196974134,0.7990600753834332,1.0
2,cmp_yard_003_animal_002.jpg,target_selection-TIS_M,0.9279726101417702,0.6290954605910027,0.9103077078450508,0.8473627422397366,1.0
4,cmp_building_006_person_003.jpg,target_selection-TIS_M,0.9232113402522734,0.7613137479139745,0.9301365779872904,0.801464684579805,1.0
4,cmp_building_014_person_007.jpg,target_selection-TIS_M,0.9323697542860636,0.7127740547458655,0.916152523043908,0.7838796710586856,1.0
4,cmp_building_020_cat_007.jpg,target_selection-TIS_M,0.9236734685240524,0.677750453601243,0.9268990427030732,0.7623898054119855,1.0
4,cmp_building_023_cat_010.jpg,target_selection-TIS_M,0.919455664910062,0.6914249517188766,0.9118358600791528,0.7623587091810411,1.0
4,cmp_building_030_person_016.jpg,target_selection-TIS_M,0.925094386678693,0.7336714391833831,0.9384893487878928,0.8530381830291671,1.0
4,cmp_building_044_dog_012.jpg,target_selection-TIS_M,0.9254158829252824,0.6894167044862263,0.9411773265931624,0.7956711802614663,1.0
4,cmp_building_051_bird_007.jpg,target_selection-TIS_M,0.9317995170236206,0.7740420472825075,0.9344852673961056,0.8282968199942649,1.0
4,cmp_cakestand_001_food_001.jpg,target_selection-TIS_M,0.9348567378508092,0.7488015098961185,0.9369434745644084,0.8284748374511973,1.0
4,cmp_forest_002_bird_001.jpg,target_selection-TIS_M,0.9362134937490504,0.7471182409990071,0.9358955730514816,0.8263233170527907,1.0
4,cmp_forest_005_bird_002.jpg,target_selection-TIS_M,0.920058135036826,0.6979484537704018,0.9399664235388598,0.825829061756309,1.0
4,cmp_meadow_004_animal_001.jpg,target_selection-TIS_M,0.9171020642834372,0.6602470603520345,0.9118119008690084,0.7499656691326732,1.0
4,cmp_mountain_016_sheep_004.jpg,target_selection-TIS_M,0.9120638276871726,0.68982778927661,0.9070536526592716,0.771456481990058,1.0
4,cmp_mountain_022_sheep_010.jpg,target_selection-TIS_M,0.9302675396128812,0.7581023296222047,0.9352387460380388,0.8059710544952047,1.0
4,cmp_rooftop_001_cat_001.jpg,target_selection-TIS_M,0.9352847577373476,0.7304544238221614,0.9346031296561932,0.837919891656941,1.0
4,cmp_shelves_036_book_009.jpg,target_selection-TIS_M,0.8901281026188447,0.6645298091547518,0.8642906511981653,0.7553284175680001,1.0
