Model,MSS,Image,AUC,NSS,IG,LL
center_bias,1,cmp_africansavanna_003_wildanimals_003.jpg,0.49972609395449047,0.36456544014611036,0.0,-1.8594978539639193
center_bias,1,cmp_building_007_person_004.jpg,0.6790592479957196,0.4775932934519159,0.0,-0.3464811695842715
center_bias,1,cmp_building_015_person_008.jpg,0.6385982128218108,0.3247198301371606,0.0,-0.6787919226438193
center_bias,1,cmp_building_022_cat_009.jpg,0.7524525351033577,0.5996211379106704,0.0,0.22103483856009346
center_bias,1,cmp_building_033_cat_012.jpg,0.6059129099769824,0.5160333906212571,0.0,-0.8915927737121987
center_bias,1,cmp_building_039_dog_007.jpg,0.5426452207736732,0.3431441832938861,0.0,-1.4183807678435099
center_bias,1,cmp_building_046_sheep_001.jpg,0.70092681089268,0.3983722480617975,0.0,-0.20988684693122128
center_bias,1,cmp_building_054_bird_010.jpg,0.49549188133376215,0.2801957488560938,0.0,-1.939039543780396
center_bias,1,cmp_building_060_dog_017.jpg,0.5268487856444273,0.28554743887993267,0.0,-1.5198518361824735
center_bias,1,cmp_cakestand_003_food_002.jpg,0.720737067086767,0.43301307007746503,0.0,-0.09491836326853476
center_bias,1,cmp_field_007_farmanimals_007.jpg,0.676464571594161,0.722339887296081,0.0,-0.30900696548202145
center_bias,1,cmp_jungle_007_bird_007.jpg,0.7047272739331992,0.5021204052611964,0.0,-0.15729384330888893
center_bias,1,cmp_mountain_004_sheep_001.jpg,0.5806056851109984,0.6390096735016683,0.0,-1.104072030960151
center_bias,1,cmp_mountain_019_sheep_007.jpg,0.5342537635471336,0.37483453810581524,0.0,-1.425384117264226
center_bias,1,cmp_office_001_pottedplant_001.jpg,0.6162088051733547,0.7388888234037553,0.0,-0.8060494501642621
center_bias,1,cmp_seabottom_001_bottle_001.jpg,0.8074717883097599,1.3623955356819817,0.0,0.8682609315258989
center_bias,1,cmp_shelves_016_cup_001.jpg,0.7180192276075774,0.4807753244643685,0.0,-0.04781438823679269
center_bias,1,cmp_shelves_018_remote_002.jpg,0.6850905027958532,0.7634721837804037,0.0,-0.2089837332648055
center_bias,1,cmp_shelves_030_book_003.jpg,0.631645206722464,0.520576454875037,0.0,-0.7105529956004889
center_bias,1,cmp_shelves_035_book_008.jpg,0.6044006435276748,0.7793648310414596,0.0,-0.7479692094755871
center_bias,1,cmp_shelves_040_book_013.jpg,0.6269487670736499,0.6427418157895626,0.0,-0.6448820736727543
center_bias,1,cmp_shelves_046_toys_005.jpg,0.6860703236181863,0.3996310589721892,0.0,-0.297616407825658
center_bias,1,cmp_shelves_054_toys_013.jpg,0.7190064089576294,0.51527381849549,0.0,-0.026989328966145337
center_bias,1,cmp_shelves_059_toys_018.jpg,0.6702800405992501,0.4502058781139364,0.0,-0.3921821971647981
center_bias,1,cmp_shelves_075_toys_034.jpg,0.671336549572497,0.3660638076140586,0.0,-0.5064280822492586
center_bias,1,cmp_shelves_081_knife_004.jpg,0.8111147401749952,1.6085884922612914,0.0,0.9608259224078239
center_bias,1,cmp_shelves_089_vase_008.jpg,0.5823176214752774,0.25509792351950217,0.0,-1.1510879623648027
center_bias,1,cmp_shelves_096_teddybear_009.jpg,0.6348995108338322,0.5769981941447071,0.0,-0.6112961959204866
center_bias,1,cmp_shelves_103_teddybear_016.jpg,0.8850227687315793,1.2594766007139477,0.0,1.3773671495742403
center_bias,1,cmp_shelves_108_teddybear_021.jpg,0.5935824828910594,0.2195164718096018,0.0,-1.1120574290184118
center_bias,1,cmp_shelves_109_teddybear_022.jpg,0.7257194532958309,0.5914828685148644,0.0,0.022453944556658025
center_bias,1,cmp_shelves_111_pottedplant_002.jpg,0.6037353996167661,0.5557013788512029,0.0,-0.8944031329529903
center_bias,1,cmp_sky_001_kite_001.jpg,0.5818141761076093,0.5175647262723446,0.0,-1.0605103284250106
center_bias,1,cmp_snow_001_person_001.jpg,0.5190572594761812,0.5025049552236237,0.0,-1.5367922216605958
center_bias,1,cmp_yard_005_animal_003.jpg,0.5773291184915651,0.31481494059649817,0.0,-1.1568039879239813
center_bias,2,cmp_beach_002_person_002.jpg,0.8010429270580561,0.8287030396557842,0.0,0.6260225763441417
center_bias,2,cmp_building_003_person_001.jpg,0.7250085678376453,0.5467480668444045,0.0,-0.12850163341745555
center_bias,2,cmp_building_010_cat_002.jpg,0.6095711415371585,0.6281524155708922,0.0,-0.8489118708126392
center_bias,2,cmp_building_018_cat_005.jpg,0.5956419173635351,0.4372142528467379,0.0,-1.0221898982954958
center_bias,2,cmp_building_021_cat_008.jpg,0.5263831576870115,0.28154473886241277,0.0,-1.5726978945689356
center_bias,2,cmp_building_032_cat_011.jpg,0.846740189295614,1.2164741395866467,0.0,1.0594014842984034
center_bias,2,cmp_building_041_dog_009.jpg,0.496367967619609,0.6303607750265042,0.0,-1.8265236403069183
center_bias,2,cmp_building_050_bird_006.jpg,0.7602515120510512,1.3623446918177797,0.0,0.5469898654769795
center_bias,2,cmp_building_056_bird_012.jpg,0.5736403860052537,0.4541991475327432,0.0,-1.1326317806366175
center_bias,2,cmp_building_062_dog_019.jpg,0.6864629666586767,0.7269722728158561,0.0,-0.2011915814170548
center_bias,2,cmp_desks_003_plants_001.jpg,0.6553118694822365,0.7266627255690463,0.0,-0.5268771313027971
center_bias,2,cmp_field_008_farmanimals_008.jpg,0.5856542897417395,0.7228948655687222,0.0,-0.9677567995002233
center_bias,2,cmp_jungle_015_bird_015.jpg,0.5638666912326953,0.31636021663965014,0.0,-1.2521816598936595
center_bias,2,cmp_meadow_003_dogs_002.jpg,0.5894423756631761,0.4254424615166822,0.0,-1.0205120359709237
center_bias,2,cmp_mountain_003_cow_001.jpg,0.5706057903897569,0.5589938412450458,0.0,-1.267500822255954
center_bias,2,cmp_mountain_017_sheep_005.jpg,0.5439396958167382,0.40323155979033903,0.0,-1.3645267103117658
center_bias,2,cmp_mountain_025_cow_005.jpg,0.6424453883269198,0.4791605760133925,0.0,-0.6552305736461839
center_bias,2,cmp_sanddunes_001_motorcycle_001.jpg,0.548444708277153,0.694706882836711,0.0,-1.2835020824064935
center_bias,2,cmp_shelves_008_fruitvegetal_001.jpg,0.5668422721497643,0.4207398969981475,0.0,-1.2727275387177792
center_bias,2,cmp_shelves_020_remote_004.jpg,0.7439166558245206,0.7201700744446045,0.0,0.2002322949034315
center_bias,2,cmp_shelves_032_book_005.jpg,0.6804619409053029,0.39009793811107535,0.0,-0.3365940254047705
center_bias,2,cmp_shelves_039_book_012.jpg,0.6963445263473781,0.604293365452406,0.0,-0.20446236682756472
center_bias,2,cmp_shelves_049_toys_008.jpg,0.6695574823800489,0.3913239307761806,0.0,-0.45031830890239594
center_bias,2,cmp_shelves_052_toys_011.jpg,0.629909950825881,0.743068161326256,0.0,-0.6478254360929762
center_bias,2,cmp_shelves_058_toys_017.jpg,0.5528733065074077,0.21643964138101637,0.0,-1.3259239192769445
center_bias,2,cmp_shelves_067_toys_026.jpg,0.7466847579196618,0.6006376722995297,0.0,0.18966096773919133
center_bias,2,cmp_shelves_073_toys_032.jpg,0.7692997058935702,0.9963612577355498,0.0,0.46135347883104644
center_bias,2,cmp_shelves_087_vase_006.jpg,0.8676377712377982,1.871781254629695,0.0,1.539488894287497
center_bias,2,cmp_shelves_101_teddybear_014.jpg,0.5658223969398075,0.31496005397758675,0.0,-1.2882053665247595
center_bias,2,cmp_shelves_107_teddybear_020.jpg,0.635647733398119,0.6376775683572928,0.0,-0.5740423775240123
center_bias,2,cmp_shelves_114_teddybear_024.jpg,0.8083112656926267,0.8410422320117977,0.0,0.7051880314188907
center_bias,2,cmp_sky_003_kite_003.jpg,0.7468106905804244,0.7983248197258996,0.0,0.25445926231585964
center_bias,2,cmp_snow_004_dog_001.jpg,0.6250374112617373,0.4067268660403224,0.0,-0.7830094338440275
center_bias,2,cmp_yard_003_animal_002.jpg,0.6641783107309114,0.9834753689797955,0.0,-0.3251545191776804
center_bias,4,cmp_beach_003_bird_001.jpg,0.6881071925869103,0.44935299367716924,0.0,-0.3088722302055022
center_bias,4,cmp_building_006_person_003.jpg,0.7007814050412361,0.5059699395788184,0.0,-0.29992070702064233
center_bias,4,cmp_building_014_person_007.jpg,0.6239238229453951,0.5686307149310328,0.0,-0.7212157679914165
center_bias,4,cmp_building_020_cat_007.jpg,0.5717022267795688,0.31384014976442215,0.0,-1.179170329280003
center_bias,4,cmp_building_023_cat_010.jpg,0.5570835542374586,0.5280139212267863,0.0,-1.4632311651816632
center_bias,4,cmp_building_030_person_016.jpg,0.6723150445971552,0.9423117061043551,0.0,-0.2929408204963155
center_bias,4,cmp_building_044_dog_012.jpg,0.619528704665746,0.3506439404281854,0.0,-0.8526361954624281
center_bias,4,cmp_building_051_bird_007.jpg,0.5953494949709203,0.6633756235436464,0.0,-1.057926137548863
center_bias,4,cmp_cakestand_001_food_001.jpg,0.6554453548390977,0.4815199331703738,0.0,-0.5107340257154804
center_bias,4,cmp_desks_002_backpacks_001.jpg,0.67641387348872,0.6268812509832754,0.0,-0.31388959606665096
center_bias,4,cmp_forest_002_bird_001.jpg,0.6211751655686337,0.6457714639465251,0.0,-0.7357427204027056
center_bias,4,cmp_forest_005_bird_002.jpg,0.6498353743523102,0.6402820154871567,0.0,-0.48809195737574007
center_bias,4,cmp_meadow_004_animal_001.jpg,0.5776915353306143,0.4997237050056614,0.0,-1.124726388685823
center_bias,4,cmp_mountain_016_sheep_004.jpg,0.6030391760839716,0.39392327802222804,0.0,-0.9825526739630526
center_bias,4,cmp_mountain_022_sheep_010.jpg,0.5919639272243747,0.4956979834701868,0.0,-0.9965633777223142
center_bias,4,cmp_rooftop_001_cat_001.jpg,0.655653918204082,0.3746278784771409,0.0,-0.5692937710284925
center_bias,4,cmp_shelves_029_book_002.jpg,0.5793711776894368,0.5435057923337698,0.0,-1.187427960607794
center_bias,4,cmp_shelves_036_book_009.jpg,0.5219398472413787,0.22584282757492757,0.0,-1.6579929580753907
center_bias,4,cmp_shelves_042_toys_001.jpg,0.7371239042504713,0.6089481000269925,0.0,0.08417389737554673
center_bias,4,cmp_shelves_050_toys_009.jpg,0.6669165892695181,0.9309871770278846,0.0,-0.30555790239729386
center_bias,4,cmp_shelves_056_toys_015.jpg,0.6393246820629456,0.5835386173759314,0.0,-0.6436878743447345
center_bias,4,cmp_shelves_063_toys_022.jpg,0.6452520712746672,0.580892287563608,0.0,-0.5556278024546798
center_bias,4,cmp_shelves_068_toys_027.jpg,0.6967395990704982,0.7331966389103282,0.0,-0.10320893796323306
center_bias,4,cmp_shelves_072_toys_031.jpg,0.7367099703607796,0.5325184411283188,0.0,0.08294983466522546
center_bias,4,cmp_shelves_077_toys_036.jpg,0.7415776815369167,1.2774434855458479,0.0,0.3901664703551526
center_bias,4,cmp_shelves_085_vase_004.jpg,0.7633369661274954,0.5758197025255526,0.0,0.28182788846891144
center_bias,4,cmp_shelves_093_vase_012.jpg,0.7168076650152674,0.5220694655562088,0.0,-0.06163367670118407
center_bias,4,cmp_shelves_100_teddybear_013.jpg,0.5605965540884873,0.2888411410424862,0.0,-1.3544605226507267
center_bias,4,cmp_shelves_105_teddybear_018.jpg,0.6641644509299462,0.550126159682917,0.0,-0.4302710486931942
center_bias,4,cmp_shelves_112_pottedplant_003.jpg,0.8817812211736359,1.5319657188623117,0.0,1.476219155651368
center_bias,4,cmp_snow_002_animal_002.jpg,0.6383647316355782,0.40296227248497274,0.0,-0.6877000450754199
center_bias,4,cmp_yard_001_birds_001.jpg,0.6233408546379303,0.5385437468068495,0.0,-0.8436472835395613
center_bias,4,cmp_yard_007_motorcycle_001.jpg,0.7029842980182334,0.4745506547297519,0.0,-0.21944640501638257
gold_standard,1,cmp_africansavanna_003_wildanimals_003.jpg,0.7861479206090812,1.3242656548437226,2.6545803492554185,0.7950824952914988
gold_standard,1,cmp_building_007_person_004.jpg,0.845088178331944,1.690067531570167,1.5836602899374024,1.2371791203531308
gold_standard,1,cmp_building_015_person_008.jpg,0.9656700792499616,3.785019418798173,3.558417001149291,2.879625078505472
gold_standard,1,cmp_building_022_cat_009.jpg,0.8966975968989308,2.235746109674409,1.5075730858288678,1.7286079243889614
gold_standard,1,cmp_building_033_cat_012.jpg,0.8506953991236019,2.056179544734121,2.253430208854114,1.3618374351419147
gold_standard,1,cmp_building_039_dog_007.jpg,0.8062558701275533,1.3727694435546227,2.3089205311978382,0.8905397633543288
gold_standard,1,cmp_building_046_sheep_001.jpg,0.835315366154192,1.9976895352303163,1.463397806183571,1.25351095925235
gold_standard,1,cmp_building_054_bird_010.jpg,0.7964195745852188,1.38667092000602,2.7508128499621205,0.8117733061817249
gold_standard,1,cmp_building_060_dog_017.jpg,0.7950047876834503,1.447310909418038,2.417634834980205,0.8977829987977312
gold_standard,1,cmp_cakestand_003_food_002.jpg,0.8721837917501314,2.2126022978323094,1.6033422146597807,1.5084238513912458
gold_standard,1,cmp_field_007_farmanimals_007.jpg,0.8397770032020805,1.9121921169999818,1.5541209921546448,1.2451140266726233
gold_standard,1,cmp_jungle_007_bird_007.jpg,0.896380636701284,2.646844721331059,1.8935881175213463,1.7362942742124574
gold_standard,1,cmp_mountain_004_sheep_001.jpg,0.8456070928429942,1.6567003352332679,2.321480405809427,1.217408374849276
gold_standard,1,cmp_mountain_019_sheep_007.jpg,0.8354627016378684,1.6764138748727464,2.559513194128157,1.134129076863931
gold_standard,1,cmp_office_001_pottedplant_001.jpg,0.8855303011494251,1.9608615869601966,2.436947829435386,1.6308983792711242
gold_standard,1,cmp_seabottom_001_bottle_001.jpg,0.8935033223221748,2.82743901126297,1.0269709033387473,1.8952318348646462
gold_standard,1,cmp_shelves_016_cup_001.jpg,0.8783936586567,1.8145991927947958,1.6084762141367122,1.5606618258999192
gold_standard,1,cmp_shelves_018_remote_002.jpg,0.883185743361927,1.926598321688191,1.7660621493802968,1.5570784161154914
gold_standard,1,cmp_shelves_030_book_003.jpg,0.862727385310748,1.9130099862800942,2.0946185006792577,1.3840655050787687
gold_standard,1,cmp_shelves_035_book_008.jpg,0.8840308545216793,2.8975684897501797,2.581024690480733,1.8330554810051456
gold_standard,1,cmp_shelves_040_book_013.jpg,0.9015652597043445,2.413343460375929,2.5669474145483426,1.9220653408755888
gold_standard,1,cmp_shelves_046_toys_005.jpg,0.8978302874596291,2.5273722431690233,2.1914302938173797,1.8938138859917213
gold_standard,1,cmp_shelves_054_toys_013.jpg,0.8889133072274729,2.605905825015899,1.7948078596395107,1.7678185306733654
gold_standard,1,cmp_shelves_059_toys_018.jpg,0.8613787364579251,2.142270261499079,1.9232879460849153,1.531105748920117
gold_standard,1,cmp_shelves_075_toys_034.jpg,0.8343265236389551,2.182427941543317,1.7909883659433647,1.2845602836941061
gold_standard,1,cmp_shelves_081_knife_004.jpg,0.9269097492871123,3.3545610496761435,1.462510580655482,2.423336503063306
gold_standard,1,cmp_shelves_089_vase_008.jpg,0.8041217521977073,1.3429143368182248,2.065712508815057,0.9146245464502542
gold_standard,1,cmp_shelves_096_teddybear_009.jpg,0.8992058446720175,2.7574542882797597,2.5082196495770313,1.8969234536565447
gold_standard,1,cmp_shelves_103_teddybear_016.jpg,0.9505530018798628,4.19538101720999,1.528192849859796,2.905559999434036
gold_standard,1,cmp_shelves_108_teddybear_021.jpg,0.8619690976204498,1.9921984633495518,2.500396565466528,1.3883391364481164
gold_standard,1,cmp_shelves_109_teddybear_022.jpg,0.8870012351226224,2.343615561201143,1.704709996979314,1.727163941535972
gold_standard,1,cmp_shelves_111_pottedplant_002.jpg,0.8576691985248092,1.6041862654579375,2.2800212201106484,1.385618087157658
gold_standard,1,cmp_sky_001_kite_001.jpg,0.8180586231669736,1.442867690236378,2.0894265652414914,1.0289162368164806
gold_standard,1,cmp_snow_001_person_001.jpg,0.776922642963275,1.5956397911331432,2.3567976712451726,0.8200054495845771
gold_standard,1,cmp_yard_005_animal_003.jpg,0.8035931207998663,1.291135018577498,2.0373474539159284,0.8805434659919469
gold_standard,2,cmp_beach_002_person_002.jpg,0.920245884018715,2.7148378701035454,1.3785542388474126,2.0045768151915544
gold_standard,2,cmp_building_003_person_001.jpg,0.8613366504169107,2.250919325273364,1.4888762861709428,1.3603746527534872
gold_standard,2,cmp_building_010_cat_002.jpg,0.8451282083955493,1.891113968298015,2.1298243617516865,1.2809124909390475
gold_standard,2,cmp_building_018_cat_005.jpg,0.8465037336354969,1.6566257786980998,2.195552592308793,1.173362694013297
gold_standard,2,cmp_building_021_cat_008.jpg,0.8398423001054258,1.860309239520514,2.762953743643229,1.1902558490742934
gold_standard,2,cmp_building_032_cat_011.jpg,0.9210181777257282,3.055364835427891,1.0885812294176969,2.1479827137161003
gold_standard,2,cmp_building_041_dog_009.jpg,0.8599383088062604,2.2712671623293965,3.326232258188575,1.499708617881657
